feature,mean_abs_shap
word_svd_45,0.0029018536496501555
char_svd_36,0.0028986155958086904
num_unique_words,0.0028890787297450025
char_svd_88,0.0028797981943870996
char_svd_149,0.0028329872135368314
char_svd_42,0.0027872706405045766
char_svd_48,0.002708658960814639
num_mixed_punct,0.002701701824771361
word_svd_171,0.0026957133127970974
word_svd_99,0.0026357411285127374
word_svd_56,0.002617319887965809
char_svd_40,0.002615309151147453
char_svd_148,0.0026020850317244604
char_svd_117,0.0025714049214431373
word_svd_100,0.002562800825848068
char_svd_112,0.0024888913969641087
char_svd_144,0.0024605273904352303
char_svd_51,0.0023988751169591364
class_-1_top_match_ratio,0.0023690901323536167
word_svd_170,0.0023569169588696964
char_svd_120,0.0023396184533700636
char_svd_107,0.0023320249057797687
word_svd_114,0.0023220883171531205
class_0_top_unique_match_count,0.002289001824159666
word_svd_85,0.002266198744532636
word_svd_60,0.0022526238703732848
word_svd_189,0.0021849215532324844
word_svd_142,0.0021818179777046954
word_svd_151,0.0021760558109947224
word_svd_86,0.002173626122704534
avg_punct_per_sentence,0.002137027962249678
word_svd_135,0.002136892002058565
char_svd_94,0.0021263698306869705
char_svd_0,0.002125358837112017
num_words_raw,0.002092854826964669
max_caps_word_len,0.0020671207826237947
char_svd_135,0.0020401701790025055
char_svd_24,0.0020179567118357718
word_svd_88,0.002012037716130764
num_punct,0.0019858625321384016
class_1_top_unique_match_count,0.001979546524049201
word_svd_111,0.0018982896220907399
word_svd_123,0.001891985977633462
word_svd_23,0.0017886708098182062
has_many_exclaims,0.0016841688767915964
word_svd_132,0.0016826545305355354
char_svd_104,0.001670950765615921
word_svd_108,0.0016580744332130193
char_svd_121,0.0016119353619713625
word_svd_110,0.0016086414815469606
word_svd_104,0.0015842421460252934
word_svd_118,0.0015209332918476482
word_svd_154,0.0014973342037170854
word_svd_140,0.0013682941510405084
char_svd_74,0.0013651990469956748
class_-1_top_match_count,0.00132564910730785
word_svd_51,0.0013202130566015338
word_svd_181,0.0012671314155832396
caps_per_word,0.0012662775809650652
num_delivery_words,0.0012493961549801557
num_long_words,0.001217586592389992
word_svd_175,0.001191927359000195
has_bad_quality,0.001168709981302641
class_0_top_match_count,0.0011041976515761506
char_svd_46,0.00108653003270397
num_questions,0.0010428487079589483
word_svd_106,0.0009783280715736297
num_digits,0.0009603207199383278
num_colons,0.0009432607067505089
num_dots,0.0009185520437606912
has_refund,0.0009025404617899972
word_svd_92,0.0008678067400582106
num_commas,0.0007839321465925081
word_svd_147,0.0007814665271205402
num_long_tokens_raw,0.0007408114862914467
class_1_top_match_count,0.0006735796394055509
class_-1_top_unique_match_count,0.0006719294679920463
word_svd_91,0.000566217077537776
word_svd_134,0.0005637289401593782
has_strong_negative_phrase,0.00045886517821030126
num_quotes,0.0002538478905352422
has_size_issue,0.00019769413763944956
num_size_words,4.84204713341664e-05
num_repeated_chars,1.9269417823334073e-06
num_empty_like_fragments,4.947662318320874e-07
num_positive_words,0.0
num_negative_words,0.0
num_sentences,0.0
num_exclaims,0.0
num_intensifiers,0.0
num_semicolons,0.0
class_-1_has_top_word,0.0
has_liked,0.0
class_0_has_top_word,0.0
class_1_has_top_word,0.0
num_newlines,0.0
has_many_questions,0.0
num_caps_words,0.0
has_caps_word,0.0
